starttime,time,duration,name,ip,song1,song2,favsong,comment
2014-01-15 06:14:40 UTC,2014-01-15 06:14:46 UTC,6.63259387,,24.128.49.204,12GetonWithItSweetMo.mp3,GeeBabyAintIgoodtoYouOutputStereoOut.mp3,GeeBabyAintIgoodtoYouOutputStereoOut.mp3,
2014-01-15 06:14:46 UTC,2014-01-15 06:14:48 UTC,2.634464025,,24.128.49.204,ToughTruckinOutputStereoOut.mp3,DoYouKnowWhatitMeansOutputStereoOut.mp3,ToughTruckinOutputStereoOut.mp3,
2014-01-15 06:14:48 UTC,2014-01-15 06:14:50 UTC,2.602071047,,24.128.49.204,SisterKateOutputStereoOut.mp3,RocksinMyBedOutputStereoOutk.mp3,RocksinMyBedOutputStereoOutk.mp3,
2014-01-15 06:14:50 UTC,2014-01-15 06:14:57 UTC,7.572709799,,24.128.49.204,CloserWalkWithTheeOutputStereoOut.mp3,12GetonWithItSweetMo.mp3,12GetonWithItSweetMo.mp3,
2014-01-15 06:14:57 UTC,2014-01-15 06:14:59 UTC,2.810251951,,24.128.49.204,13MessinwiththeKid.mp3,PoisonOutputStereoOut.mp3,PoisonOutputStereoOut.mp3,
2014-01-15 06:14:59 UTC,2014-01-15 06:15:07 UTC,8.025550127,,24.128.49.204,CloserWalkWithTheeOutputStereoOut.mp3,GetonWithItOutputStereoOut.mp3,GetonWithItOutputStereoOut.mp3,
2014-01-15 06:15:07 UTC,2014-01-15 06:15:13 UTC,6.938341856,,24.128.49.204,IveFoundanewbabyOutputStereoOut.mp3,SexyandIknowit.mp3,IveFoundanewbabyOutputStereoOut.mp3,
2014-01-15 06:15:13 UTC,2014-01-15 06:15:28 UTC,15.72542405,,24.128.49.204,17RocksinMyBedSweetMo.mp3,RocksinMyBedOutputStereoOut1.mp3,17RocksinMyBedSweetMo.mp3,
2014-01-15 16:34:27 UTC,2014-01-15 16:50:29 UTC,962.2536991,Kevin,50.138.183.238,16TheSkyisCrying.mp3,HoochieCoochieManOutputStereoOut.mp3,HoochieCoochieManOutputStereoOut.mp3,
2014-01-16 01:48:45 UTC,2014-01-16 01:51:06 UTC,141.648627,,108.17.145.30,DoYouKnowWhatitMeansOutputStereoOut.mp3,SlowBoattoChinaOutputStereoOut.mp3,SlowBoattoChinaOutputStereoOut.mp3,
2014-01-16 05:30:08 UTC,2014-01-16 05:36:12 UTC,364.504632,,174.113.226.129,SisterKateOutputStereoOut.mp3,AllOfMeOutputStereoOut.mp3,SisterKateOutputStereoOut.mp3,
2014-01-16 19:50:36 UTC,2014-01-16 19:52:44 UTC,128.844033,Shawn Hershey,204.9.220.42,DoYouKnowWhatitMeansOutputStereoOut.mp3,BluesMyNaughtyOutputStereoOut.mp3,BluesMyNaughtyOutputStereoOut.mp3,test comment
2014-01-15 16:34:10 UTC,2014-01-16 20:06:30 UTC,99140.72892,Kevin,50.138.183.238,SummerTimeOutputStereoOut.mp3,SweetSueOutputStereoOut.mp3,SweetSueOutputStereoOut.mp3,
